Dis_1,Rssi_1,,Dis_2,Rssi_2
5,-37,,6,-46
5,-38,,6,-46
5,-35,,6,-42
5,-38,,6,-45
5,-37,,6,-46
5,-38,,6,-46
5,-39,,6,-42
5,-38,,6,-45
5,-36,,6,-45
5,-34,,6,-45
10,-37,,10,-44
10,-38,,10,-40
10,-37,,10,-41
10,-38,,10,-44
10,-40,,10,-43
10,-37,,10,-44
10,-37,,10,-44
10,-37,,10,-40
10,-39,,10,-44
10,-38,,10,-44
13,-41,,14,-42
13,-38,,14,-42
13,-35,,14,-41
13,-39,,14,-45
13,-38,,14,-46
13,-39,,14,-42
13,-39,,14,-46
13,-37,,14,-41
13,-39,,14,-41
13,-39,,14,-45
16,-40,,16,-42
16,-43,,16,-46
16,-41,,16,-45
16,-40,,16,-45
16,-38,,16,-43
16,-39,,16,-43
16,-40,,16,-46
16,-40,,16,-45
16,-39,,16,-45
16,-40,,16,-45
19,-42,,19,-43
19,-43,,19,-46
19,-41,,19,-42
19,-46,,19,-46
19,-43,,19,-46
19,-42,,19,-46
19,-43,,19,-47
19,-44,,19,-47
19,-40,,19,-43
19,-40,,19,-43
23,-43,,23,-42
23,-46,,23,-42
24,-45,,23,-43
24,-46,,23,-42
24,-45,,23,-42
24,-46,,23,-42
24,-44,,23,-43
24,-45,,23,-42
24,-45,,23,-43
24,-46,,24,-42
27,-50,,25,-42
27,-51,,25,-41
27,-49,,25,-41
27,-49,,25,-42
27,-48,,25,-42
27,-51,,25,-42
27,-50,,25,-42
27,-49,,25,-42
27,-48,,25,-42
27,-49,,25,-42
31,-52,,28,-41
31,-57,,28,-42
31,-50,,28,-40
31,-54,,28,-40
31,-53,,28,-41
31,-52,,28,-41
31,-52,,28,-41
31,-52,,28,-41
31,-52,,28,-41
31,-51,,29,-41
34,-61,,30,-41
34,-60,,30,-41
34,-61,,30,-40
34,-61,,31,-40
34,-61,,31,-41
34,-61,,31,-40
34,-59,,31,-40
35,-59,,31,-41
35,-61,,31,-40
35,-61,,31,-41
38,-53,,32,-42
38,-53,,32,-42
38,-51,,32,-42
38,-52,,32,-42
38,-52,,32,-42
38,-52,,33,-41
38,-53,,33,-42
38,-51,,33,-42
39,-52,,33,-45
39,-52,,33,-42
41,-48,,35,-44
42,-47,,35,-43
42,-46,,36,-44
42,-47,,36,-43
42,-47,,36,-44
42,-47,,36,-44
42,-45,,36,-44
42,-47,,36,-44
42,-49,,36,-44
42,-47,,36,-44
46,-49,,39,-45
46,-49,,39,-48
47,-45,,39,-46
47,-46,,39,-45
47,-46,,39,-45
47,-46,,39,-45
47,-45,,39,-45
