rssi_6,rssi_17,dis_6,dis_17
-54,-59,4,5
-65,-58,4,5
-63,-59,4,5
-62,-57,4,5
-58,-58,4,5
-55,-65,15,14
-53,-65,15,14
-61,-64,15,14
-49,-62,15,14
-54,-61,15,14
-51,-58,27,23
-49,-58,27,23
-48,-59,27,23
-48,-58,27,23
-49,-58,27,23
-52,-63,15,13
-49,-63,14,13
-49,-64,15,13
-48,-63,15,14
-49,-63,15,14
rssi_6,rssi_17,dis_6,dis_17
-58,-61,4,5
-55,-60,4,5
-53,-62,4,5
-52,-62,4,5
-55,-60,4,5
-50,-63,15,14
-52,-64,15,14
-51,-62,15,14
-54,-62,15,14
-52,-62,15,14
-52,-52,26,24
-50,-52,26,24
-55,-52,26,24
-55,-51,26,24
-53,-52,26,24
-55,-61,14,14
-49,-62,15,14
-50,-61,14,14
-51,-62,15,14
-50,-64,14,14
rssi_6,rssi_17,dis_6,dis_17
-56,-59,4,5
-52,-58,4,5
-59,-58,4,5
-56,-57,4,5
-53,-56,4,5
-57,-63,15,14
-56,-64,15,14
-51,-64,15,14
-54,-63,15,14
-54,-64,15,14
-46,-55,27,24
-54,-51,26,24
-57,-54,26,24
-52,-51,26,24
-53,-52,26,24
-47,-63,15,15
-49,-64,15,15
-49,-63,15,15
-52,-61,15,15
-49,-62,15,15
