rssi_6,rssi_17,dis_6,dis_17
-40,-48,5,18
-41,-48,5,18
-36,-48,5,18
-40,-47,5,18
-38,-48,5,18
-37,-48,5,18
-37,-45,5,18
-37,-44,5,18
-38,-45,5,18
-36,-44,5,18
-35,-45,5,18
-38,-45,5,18
-38,-46,5,18
-37,-47,5,18
-41,-48,5,18
-38,-46,5,18
-38,-45,5,18
-38,-45,5,18
-37,-45,5,18
-38,-45,5,18
-41,-45,18,28
-37,-44,18,28
-41,-45,18,29
-39,-48,18,28
-39,-45,18,28
-38,-45,18,28
-41,-45,18,28
-43,-48,18,28
-40,-45,18,28
-45,-48,18,28
-40,-45,17,28
-41,-48,18,28
-38,-45,17,28
-41,-48,17,28
-44,-45,17,28
-40,-43,17,28
-44,-47,17,28
-41,-47,18,28
-40,-44,18,28
-38,-48,18,28
-45,-48,30,37
-40,-46,30,37
-41,-46,30,37
-40,-45,29,37
-40,-45,29,37
-40,-45,29,37
-41,-46,29,37
-39,-45,29,37
-40,-45,29,37
-40,-45,29,37
-42,-45,30,37
-42,-45,29,37
-39,-45,29,37
-38,-46,29,37
-41,-45,29,37
-40,-48,30,37
-40,-45,29,37
-42,-45,29,37
-41,-46,29,37
-41,-45,29,37
-36,-45,39,48
-42,-48,39,48
-39,-45,40,48
-41,-48,40,48
-39,-45,40,48
-37,-45,40,48
-39,-45,40,48
-41,-48,40,48
-43,-48,40,48
-41,-44,40,48
-37,-45,40,48
-41,-48,40,48
-42,-48,40,48
-42,-48,40,48
-41,-45,40,48
-39,-48,40,48
-37,-45,39,48
-37,-45,40,48
-43,-45,40,48
-37,-48,40,49
-43,-48,52,57
-43,-48,52,57
-42,-46,52,57
-40,-49,52,57
-40,-46,52,57
-36,-47,52,57
-39,-46,52,57
-38,-49,52,57
-39,-46,52,57
-41,-49,52,57
-37,-46,52,57
-42,-45,52,57
-39,-45,52,57
-37,-46,52,57
-39,-45,52,57
-37,-45,52,57
-37,-46,52,57
-42,-48,52,57
-40,-49,52,57
-41,-48,52,57
-42,-49,63,67
-38,-51,63,67
-44,-51,63,67
-41,-49,63,68
-40,-49,63,67
-41,-48,63,67
-41,-49,63,67
-40,-49,63,67
-40,-49,64,68
-42,-49,63,67
-42,-49,63,67
-39,-51,63,67
-40,-49,63,67
-39,-49,64,67
-41,-48,63,67
-41,-49,63,67
-41,-49,63,67
-39,-49,63,67
-40,-51,63,68
-41,-49,63,67
-38,-51,75,78
-40,-51,74,78
-40,-51,76,79
-40,-51,75,79
-38,-55,74,78
-37,-55,76,78
-40,-51,76,78
-40,-51,75,78
-41,-51,75,78
-40,-51,76,78
-39,-55,75,78
-39,-51,75,79
-40,-51,75,79
-40,-51,74,78
-38,-52,74,79
-37,-51,74,78
-40,-51,74,78
-40,-51,75,78
-41,-56,75,78
-40,-55,74,78
-42,-60,88,89
-38,-60,88,89
-41,-60,87,89
-40,-61,87,89
-40,-61,88,89
-39,-60,87,90
-38,-60,87,89
-40,-60,87,89
-39,-61,88,89
-39,-60,88,89
-39,-60,87,89
-41,-61,87,89
-41,-60,87,89
-43,-61,87,89
-41,-61,87,89
-40,-60,87,89
-37,-60,88,89
-38,-59,88,89
-38,-60,88,89
-40,-60,88,89
-37,-53,98,100
-41,-53,99,100
-38,-53,98,100
-38,-53,98,100
-41,-57,99,100
-39,-54,97,100
-39,-54,99,100
-38,-51,99,100
-40,-53,98,100
-39,-54,98,100
-39,-53,100,100
-40,-53,98,100
-38,-53,98,99
-40,-51,100,100
-38,-52,98,99
-39,-51,99,99
-40,-51,98,100
-38,-51,98,100
-37,-51,99,99
-39,-53,100,99
-39,-60,87,89
-39,-61,86,89
-40,-59,87,89
-40,-60,87,88
-40,-59,86,89
-41,-60,86,89
-42,-59,86,88
-38,-60,86,89
-41,-60,87,89
-39,-60,87,89
-40,-61,87,89
-41,-60,87,89
-39,-60,86,89
-42,-60,87,88
-40,-61,87,88
-39,-61,86,88
-42,-60,87,89
-42,-60,86,89
-38,-63,86,88
-41,-60,87,88
-40,-51,74,78
-38,-51,74,78
-41,-54,74,78
-39,-51,75,78
-39,-50,75,78
-39,-49,75,78
-40,-50,74,79
-39,-54,76,78
-41,-50,74,78
-41,-49,75,78
